"first_name","last_name","nationality","date_of_birth","team"
"Stefano","Pioli","Italy","10/19/1965","AC Milan"
"Alfred","Schreuder","Netherlands","11/2/1972","AFC Ajax"
"Gian Piero","Gasperini","Italy","1/26/1958","Atalanta"
"Diego","Simeone","Argentina","4/28/1970","Atlético Madrid"
"Julian","Nagelsmann","Germany","7/23/1987","Bayern München"
"Valérien","Ismaël","France","9/28/1975","Beşiktaş"
"Edin","Terzić","Germany","10/30/1982","Borussia Dortmund"
"Raphaël","Wicky","Switzerland","4/26/1977","BSC Young Boys"
"Graham","Potter","England","5/20/1975","Chelsea FC"
"Carl","Hoefkens","Belgium","10/6/1978","Club Brugge KV"
"Mircea","Lucescu","Romania","7/29/1945","Dinamo Kiev"
"","Xavi","Spain","1/25/1980","FC Barcelona"
"Sérgio","Conceição","Portugal","11/15/1974","FC Porto"
"Stjepan","Tomas","Croatia","6/3/1976","FC Sheriff"
"Simone","Inzaghi","Italy","4/5/1976","Inter"
"Massimiliano","Allegri","Italy","8/11/1967","Juventus"
"Paulo","Fonseca","Portugal","3/5/1973","Lille OSC"
"Jürgen","Klopp","Germany","6/16/1967","Liverpool FC"
"Åge","Hareide","Norway","9/23/1953","Malmö FF"
"Pep","Guardiola","Spain","1/18/1971","Manchester City"
"Erik ten","Hag","Netherlands","2/2/1970","Manchester United"
"Christophe","Galtier","France","8/26/1966","Paris Saint-Germain"
"Marco","Rose","Germany","9/11/1976","RB Leipzig"
"Matthias","Jaissle","Germany","4/5/1988","RB Salzburg"
"Carlo","Ancelotti","Italy","6/10/1959","Real Madrid"
"","Lopetegui","Spain","9/28/1966","Sevilla FC"
"Igor","Jovićević","Croatia","11/30/1973","Shakhtar Donetsk"
"Roger","Schmidt","Germany","3/13/1967","SL Benfica"
"Rúben","Amorim","Portugal","1/27/1985","Sporting CP"
"Niko","Kovač","Croatia","10/15/1971","VfL Wolfsburg"
"Unai","Emery","Spain","11/3/1971","Villarreal CF"
"Sergey","Semak","Russia","2/27/1976","Zenit St. Petersburg"
"Daniel","Farke","Germany","10/30/1976","Bor. Mönchengladbach"
"Albert","Capellas","Spain","10/1/1967","FC Midtjylland"
"Stanislav","Cherchesov","Russia","9/2/1963","Ferencvárosi TC"
"Aleksandr","Storozhuk","Russia","8/10/1981","FK Krasnodar"
"Emre","Belözoğlu","Turkey","9/7/1980","İstanbul Başakşehir"
"Maurizio","Sarri","Italy","1/10/1959","Lazio Roma"
"Joe","Zinnbauer","Germany","5/1/1970","Lokomotiv Moskva"
"Carlos","Corberán","Spain","4/7/1983","Olympiakos Piraeus"
"","Míchel","Spain","3/23/1963","Olympiakos Piraeus"
"Igor","Tudor","Croatia","4/16/1978","Olympique Marseille"
"Bruno","Génésio","France","9/1/1966","Stade Rennes"
"Xabi","Alonso","Spain","11/25/1981","Bayer Leverkusen"
"Miloš","Milojević","Serbia","9/29/1982","Crvena Zvezda"
"Ante","Čačić","Croatia","9/29/1953","Dinamo Zagreb"
"Okan","Buruk","Turkey","10/19/1973","Galatasaray"
"Wouter","Vrancken","Belgium","2/3/1979","KRC Genk"
"Peter","Bosz","Netherlands","11/21/1963","Olympique Lyon"
"Luciano","Spalletti","Italy","3/7/1959","SSC Napoli"
"Antonio","Conte","Italy","7/31/1969","Tottenham Hotspur"
"Gennaro","Gattuso","Italy","1/9/1978","Valencia CF"
"André","Breitenreiter","Germany","10/2/1973","1899 Hoffenheim"
"Matías","Almeyda","Argentina","12/21/1973","AEK Athen"
"Philippe","Clement","Belgium","3/22/1974","AS Monaco"
"José","Mourinho","Portugal","1/26/1963","AS Roma"
"Vladimir","Fedotov","Russia","8/12/1966","CSKA Moskva"
"Frank","Kramer","Germany","5/3/1972","FC Schalke 04"
"Ruud van","Nistelrooy","Netherlands","7/1/1976","PSV Eindhoven"
"Sofronis","Avgousti","Cyprus","3/9/1977","APOEL Nikosia"
"Ange","Postecoglou","Australia","8/27/1965","Celtic FC"
"Alexander","Frei","Switzerland","7/15/1979","FC Basel"
"Arne","Slot","Netherlands","9/17/1978","Feyenoord"
"Damir","Krznar","Croatia","7/10/1972","NK Maribor"
"Qurban","Qurbanov","Azerbaijan","4/13/1972","Qarabağ FK"
"Felice","Mazzù","Belgium","3/12/1966","RSC Anderlecht"
"Guillermo","Abascal","Spain","4/13/1989","Spartak Moskva"
"Fernando","Torres","Spain","3/20/1984",""
"Dmitriy","Kombarov","Russia","1/22/1987",""
"Sandro","Wagner","Germany","11/29/1987",""
"Stephan","Lichtsteiner","Switzerland","1/16/1984",""
"Mikel","Arteta","Spain","3/26/1982","Arsenal FC"
"Jacob","Neestrup","Denmark","3/8/1988","FC København"
"Valeriy","Karpin","Russia","2/2/1969","FK Rostov"
"Kosta","Runjaic","Germany","6/4/1971","Legia Warszawa"
"Brendan","Rodgers","Northern Ireland","1/26/1973","Leicester City"
"Ante","Šimundža","Slovenia","9/28/1971","PFC Ludogorets Razgrad"
"Nuri","Şahin","Turkey","9/5/1988",""
