first_name,last_name,nationality,date_of_birth,team
Stefano,Pioli,Italy,1965-10-19,AC Milan
Alfred,Schreuder,Netherlands,1972-11-02,AFC Ajax
Gian Piero,Gasperini,Italy,1958-01-26,Atalanta
Diego,Simeone,Argentina,1970-04-28,Atlético Madrid
Julian,Nagelsmann,Germany,1987-07-23,Bayern München
Valérien,Ismaël,France,1975-09-28,Beşiktaş
Edin,Terzić,Germany,1982-10-30,Borussia Dortmund
Raphaël,Wicky,Switzerland,1977-04-26,BSC Young Boys
Graham,Potter,England,1975-05-20,Chelsea FC
Carl,Hoefkens,Belgium,1978-10-06,Club Brugge KV
Mircea,Lucescu,Romania,1945-07-29,Dinamo Kiev
,Xavi,Spain,1980-01-25,FC Barcelona
Sérgio,Conceição,Portugal,1974-11-15,FC Porto
Stjepan,Tomas,Croatia,1976-06-03,FC Sheriff
Simone,Inzaghi,Italy,1976-04-05,Inter
Massimiliano,Allegri,Italy,1967-08-11,Juventus
Paulo,Fonseca,Portugal,1973-03-05,Lille OSC
Jürgen,Klopp,Germany,1967-06-16,Liverpool FC
Åge,Hareide,Norway,1953-09-23,Malmö FF
Pep,Guardiola,Spain,1971-01-18,Manchester City
Erik ten,Hag,Netherlands,1970-02-02,Manchester United
Christophe,Galtier,France,1966-08-26,Paris Saint-Germain
Marco,Rose,Germany,1976-09-11,RB Leipzig
Matthias,Jaissle,Germany,1988-04-05,RB Salzburg
Carlo,Ancelotti,Italy,1959-06-10,Real Madrid
,Lopetegui,Spain,1966-09-28,Sevilla FC
Igor,Jovićević,Croatia,1973-11-30,Shakhtar Donetsk
Roger,Schmidt,Germany,1967-03-13,SL Benfica
Rúben,Amorim,Portugal,1985-01-27,Sporting CP
Niko,Kovač,Croatia,1971-10-15,VfL Wolfsburg
Unai,Emery,Spain,1971-11-03,Villarreal CF
Sergey,Semak,Russia,1976-02-27,Zenit St. Petersburg
Daniel,Farke,Germany,1976-10-30,Bor. Mönchengladbach
Albert,Capellas,Spain,1967-10-01,FC Midtjylland
Stanislav,Cherchesov,Russia,1963-09-02,Ferencvárosi TC
Aleksandr,Storozhuk,Russia,1981-08-10,FK Krasnodar
Emre,Belözoğlu,Turkey,1980-09-07,İstanbul Başakşehir
Maurizio,Sarri,Italy,1959-01-10,Lazio Roma
Joe,Zinnbauer,Germany,1970-05-01,Lokomotiv Moskva
Carlos,Corberán,Spain,1983-04-07,Olympiakos Piraeus
,Míchel,Spain,1963-03-23,Olympiakos Piraeus
Igor,Tudor,Croatia,1978-04-16,Olympique Marseille
Bruno,Génésio,France,1966-09-01,Stade Rennes
Xabi,Alonso,Spain,1981-11-25,Bayer Leverkusen
Miloš,Milojević,Serbia,1982-09-29,Crvena Zvezda
Ante,Čačić,Croatia,1953-09-29,Dinamo Zagreb
Okan,Buruk,Turkey,1973-10-19,Galatasaray
Wouter,Vrancken,Belgium,1979-02-03,KRC Genk
Peter,Bosz,Netherlands,1963-11-21,Olympique Lyon
Luciano,Spalletti,Italy,1959-03-07,SSC Napoli
Antonio,Conte,Italy,1969-07-31,Tottenham Hotspur
Gennaro,Gattuso,Italy,1978-01-09,Valencia CF
André,Breitenreiter,Germany,1973-10-02,1899 Hoffenheim
Matías,Almeyda,Argentina,1973-12-21,AEK Athen
Philippe,Clement,Belgium,1974-03-22,AS Monaco
José,Mourinho,Portugal,1963-01-26,AS Roma
Vladimir,Fedotov,Russia,1966-08-12,CSKA Moskva
Frank,Kramer,Germany,1972-05-03,FC Schalke 04
Ruud van,Nistelrooy,Netherlands,1976-07-01,PSV Eindhoven
Sofronis,Avgousti,Cyprus,1977-03-09,APOEL Nikosia
Ange,Postecoglou,Australia,1965-08-27,Celtic FC
Alexander,Frei,Switzerland,1979-07-15,FC Basel
Arne,Slot,Netherlands,1978-09-17,Feyenoord
Damir,Krznar,Croatia,1972-07-10,NK Maribor
Qurban,Qurbanov,Azerbaijan,1972-04-13,Qarabağ FK
Felice,Mazzù,Belgium,1966-03-12,RSC Anderlecht
Guillermo,Abascal,Spain,1989-04-13,Spartak Moskva
Fernando,Torres,Spain,1984-03-20,
Dmitriy,Kombarov,Russia,1987-01-22,
Sandro,Wagner,Germany,1987-11-29,
Stephan,Lichtsteiner,Switzerland,1984-01-16,
Mikel,Arteta,Spain,1982-03-26,Arsenal FC
Jacob,Neestrup,Denmark,1988-03-08,FC København
Valeriy,Karpin,Russia,1969-02-02,FK Rostov
Kosta,Runjaic,Germany,1971-06-04,Legia Warszawa
Brendan,Rodgers,Northern Ireland,1973-01-26,Leicester City
Ante,Šimundža,Slovenia,1971-09-28,PFC Ludogorets Razgrad
Nuri,Şahin,Turkey,1988-09-05,
