match_id,season,date_time,home_team,away_team,stadium,home_team_score,away_team_score,penalty_shoot_out,attendance
1,2021-2022,2021-09-15,Manchester City,RB Leipzig,Etihad Stadium,6,3,0,38062
2,2021-2022,2021-09-15,Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,1,1,0,27546
3,2021-2022,2021-09-28,Paris Saint-Germain,Manchester City,Parc des Princes,2,0,0,37350
4,2021-2022,2021-09-28,RB Leipzig,Club Brugge KV,Red Bull Arena,1,2,0,23500
5,2021-2022,2021-10-19,Club Brugge KV,Manchester City,Jan Breydel Stadion,1,5,0,24915
6,2021-2022,2021-10-19,Paris Saint-Germain,RB Leipzig,Parc des Princes,3,2,0,47359
7,2021-2022,2021-11-03,RB Leipzig,Paris Saint-Germain,Red Bull Arena,2,2,0,39794
8,2021-2022,2021-11-03,Manchester City,Club Brugge KV,Etihad Stadium,4,1,0,50228
9,2021-2022,2021-11-24,Manchester City,Paris Saint-Germain,Etihad Stadium,2,1,0,52030
10,2021-2022,2021-11-24,Club Brugge KV,RB Leipzig,Jan Breydel Stadion,0,5,0,24072
11,2021-2022,2021-12-07,RB Leipzig,Manchester City,Red Bull Arena,2,1,0,0
12,2021-2022,2021-12-07,Paris Saint-Germain,Club Brugge KV,Parc des Princes,4,1,0,47492
13,2021-2022,2021-09-15,Atlético Madrid,FC Porto,Wanda Metropolitano,0,0,0,40098
14,2021-2022,2021-09-15,Liverpool FC,AC Milan,Anfield,3,2,0,51445
15,2021-2022,2021-09-28,FC Porto,Liverpool FC,Estádio do Dragão,1,5,0,23520
16,2021-2022,2021-09-28,AC Milan,Atlético Madrid,Giuseppe Meazza,1,2,0,35374
17,2021-2022,2021-10-19,Atlético Madrid,Liverpool FC,Wanda Metropolitano,2,3,0,60725
18,2021-2022,2021-10-19,FC Porto,AC Milan,Estádio do Dragão,1,0,0,32130
19,2021-2022,2021-11-03,AC Milan,FC Porto,Giuseppe Meazza,1,1,0,39675
20,2021-2022,2021-11-03,Liverpool FC,Atlético Madrid,Anfield,2,0,0,51347
21,2021-2022,2021-11-24,Liverpool FC,FC Porto,Anfield,2,0,0,52209
22,2021-2022,2021-11-24,Atlético Madrid,AC Milan,Wanda Metropolitano,0,1,0,61019
23,2021-2022,2021-12-07,FC Porto,Atlético Madrid,Estádio do Dragão,1,3,0,38830
24,2021-2022,2021-12-07,AC Milan,Liverpool FC,Giuseppe Meazza,1,2,0,56237
25,2021-2022,2021-09-15,Beşiktaş,Borussia Dortmund,Vodafone Park,1,2,0,22445
26,2021-2022,2021-09-15,Sporting CP,AFC Ajax,Estádio José Alvalade,1,5,0,20382
27,2021-2022,2021-09-28,AFC Ajax,Beşiktaş,Johan Cruijff ArenA,2,0,0,52628
28,2021-2022,2021-09-28,Borussia Dortmund,Sporting CP,Signal Iduna Park,1,0,0,25000
29,2021-2022,2021-10-19,Beşiktaş,Sporting CP,Vodafone Park,1,4,0,22936
30,2021-2022,2021-10-19,AFC Ajax,Borussia Dortmund,Johan Cruijff ArenA,4,0,0,54029
31,2021-2022,2021-11-03,Borussia Dortmund,AFC Ajax,Signal Iduna Park,1,3,0,54820
32,2021-2022,2021-11-03,Sporting CP,Beşiktaş,Estádio José Alvalade,4,0,0,40835
33,2021-2022,2021-11-24,Beşiktaş,AFC Ajax,Vodafone Park,1,2,0,11712
34,2021-2022,2021-11-24,Sporting CP,Borussia Dortmund,Estádio José Alvalade,3,1,0,41341
35,2021-2022,2021-12-07,AFC Ajax,Sporting CP,Johan Cruijff ArenA,4,2,0,0
36,2021-2022,2021-12-07,Borussia Dortmund,Beşiktaş,Signal Iduna Park,5,0,0,15000
37,2021-2022,2021-09-15,FC Sheriff,Shakhtar Donetsk,Sheriff Stadium,2,0,0,5205
38,2021-2022,2021-09-15,Inter,Real Madrid,Giuseppe Meazza,0,1,0,37082
39,2021-2022,2021-09-28,Shakhtar Donetsk,Inter,Olimpiyskyi,0,0,0,26170
40,2021-2022,2021-09-28,Real Madrid,FC Sheriff,Santiago Bernabéu,1,2,0,24522
41,2021-2022,2021-10-19,Shakhtar Donetsk,Real Madrid,Olimpiyskyi,0,5,0,34037
42,2021-2022,2021-10-19,Inter,FC Sheriff,Giuseppe Meazza,3,1,0,43305
43,2021-2022,2021-11-03,Real Madrid,Shakhtar Donetsk,Santiago Bernabéu,2,1,0,38105
44,2021-2022,2021-11-03,FC Sheriff,Inter,Sheriff Stadium,1,3,0,5930
45,2021-2022,2021-11-24,Inter,Shakhtar Donetsk,Giuseppe Meazza,2,0,0,46225
46,2021-2022,2021-11-24,FC Sheriff,Real Madrid,Sheriff Stadium,0,3,0,5932
47,2021-2022,2021-12-07,Real Madrid,Inter,Santiago Bernabéu,2,0,0,46887
48,2021-2022,2021-12-07,Shakhtar Donetsk,FC Sheriff,Olimpiyskyi,1,1,0,6841
49,2021-2022,2021-09-14,FC Barcelona,Bayern München,Spotify Camp Nou,0,3,0,39737
50,2021-2022,2021-09-14,Dinamo Kiev,SL Benfica,Olimpiyskyi,0,0,0,21657
51,2021-2022,2021-09-29,SL Benfica,FC Barcelona,Estádio da Luz,3,0,0,29454
52,2021-2022,2021-09-29,Bayern München,Dinamo Kiev,Allianz Arena,5,0,0,25000
53,2021-2022,2021-10-20,FC Barcelona,Dinamo Kiev,Spotify Camp Nou,1,0,0,45968
54,2021-2022,2021-10-20,SL Benfica,Bayern München,Estádio da Luz,0,4,0,50000
55,2021-2022,2021-11-02,Bayern München,SL Benfica,Allianz Arena,5,2,0,50000
56,2021-2022,2021-11-02,Dinamo Kiev,FC Barcelona,Olimpiyskyi,0,1,0,31378
57,2021-2022,2021-11-23,Dinamo Kiev,Bayern München,Olimpiyskyi,1,2,0,28732
58,2021-2022,2021-11-23,FC Barcelona,SL Benfica,Spotify Camp Nou,0,0,0,49572
59,2021-2022,2021-12-08,Bayern München,FC Barcelona,Allianz Arena,3,0,0,0
60,2021-2022,2021-12-08,SL Benfica,Dinamo Kiev,Estádio da Luz,2,0,0,37000
